slug,lang,kategorie,prompt_hash,seed,dauer_s,bytes,status
ai-deployment,de,grundlagen,46512167af65,155685855489422,12.6,10516,ok
api-grundlagen,de,grundlagen,83c598f6f4d4,133550519467862,12.6,12570,ok
docker-fuer-ai,de,grundlagen,fefcaf06401f,265769900460758,12.6,18334,ok
embeddings-erklaert,de,grundlagen,a1b24c7ec96b,95980399224595,12.6,10010,ok
multi-agent-systeme,de,grundlagen,494cfdd283e7,250876047483586,16.8,6572,ok
n8n-einfuehrung,de,grundlagen,7cceb00e937e,89254770560700,12.5,11478,ok
ollama-setup,de,grundlagen,1ad3c08f4739,254257415778766,12.6,13122,ok
ollama-vs-cloud,de,grundlagen,,,0,0,uebersprungen: REDIRECT: router.replace('/grundlagen/lokal-vs-cloud') — kein Motiv
prompt-engineering-advanced,de,grundlagen,ab8af5aa0b7d,67077054077902,12.6,8520,ok
selfhosted-vs-cloud,de,grundlagen,,,0,0,uebersprungen: REDIRECT: router.replace('/grundlagen/lokal-vs-cloud') — kein Motiv
was-ist-agent-orchestration,de,grundlagen,16e52b40bd40,148330298576673,12.6,16314,ok
image-generation,de,kategorien,82d2c6a662d5,29793494637819,12.6,16430,ok
self-hosted,de,kategorien,63d0db3e10c9,87923616533289,12.7,37858,ok
speech-und-audio,de,kategorien,043985e91cb3,195522324489378,12.9,30462,ok
video-generation,de,kategorien,dc6d0181f538,58177012466328,13.0,24518,ok
workflow-automation,de,kategorien,0ada85afc316,80000177922016,12.5,24426,ok
agent-harness,de,konzepte,11b4bad0a690,57831641734623,13.6,29378,ok
ai-sicherheit,de,konzepte,a0d8bada6c88,254373223263965,12.8,19922,ok
attention-mechanismen,de,konzepte,b315e61fcf34,49799893313327,13.6,27178,ok
chain-of-thought,de,konzepte,40ec5ec80446,128373436805414,12.6,28840,ok
diffusion-modelle,de,konzepte,0194bb1fe56a,247135034566871,13.4,20472,ok
embedding-modelle,de,konzepte,9a86405abe77,268076277479001,15.7,31048,ok
fine-tuning,de,konzepte,304665f5d3ad,39764921418759,12.8,29918,ok
function-calling,de,konzepte,30ec532119b1,65951679986907,16.1,22120,ok
knowledge-distillation,de,konzepte,0384b60c10db,190748866037920,12.6,29906,ok
kontext-fenster,de,konzepte,cdc31bc562b4,48026508383543,12.6,26420,ok
lora-adapter,de,konzepte,9da1f59bae8b,34861799765858,12.8,26430,ok
mixture-of-experts,de,konzepte,2e7340123cbd,46647558338729,15.8,14544,ok
model-merging,de,konzepte,04f737d4afce,59867563734855,12.6,33718,ok
multimodale-modelle,de,konzepte,3dae093dafd6,219975792517304,16.7,21468,ok
quantisierung,de,konzepte,c48a2efe1186,230462376301067,15.8,19340,ok
rag-erklaert,de,konzepte,e19df9fa2e1c,233640175314598,13.5,15874,ok
reinforcement-learning,de,konzepte,f968d03f9bce,244073315770601,15.8,28290,ok
reranking,de,konzepte,086a50a8ce46,211267142601061,12.5,12736,ok
speculative-decoding,de,konzepte,d6b099d30145,56144330744326,12.7,34610,ok
structured-generation,de,konzepte,212b3871c21b,110050035404074,12.8,25348,ok
token-effizienz,de,konzepte,2eeeaef7dbe7,161635835913071,12.8,19484,ok
tokenisierung,de,konzepte,ec72d239b920,82447145770599,12.7,25476,ok
transformer-architektur,de,konzepte,eeecbe9748b2,38334672042281,12.7,34604,ok
vektor-datenbanken,de,konzepte,41afe2c7de5b,153525502188363,16.6,26276,ok
ci-cd-fuer-ml,de,mlops,618198814a9c,8788200937361,12.7,49054,ok
datenqualitaet,de,mlops,3eb5d6d5f23b,190959741095678,12.6,41844,ok
experiment-tracking,de,mlops,160716fbf4af,35052554218867,12.6,54112,ok
feature-stores,de,mlops,629688df5a18,268871105987116,12.9,40828,ok
model-monitoring,de,mlops,1966dc6264a0,223327843844874,12.6,37638,ok
